Year,Q,V,X,m
2006,14841,1544,164869.5652,419
2007,15215,1750,217439.3939,460
2008,15438,1806,212121.6216,509
2009,15734,2653,217419.3548,567
2010,15805,2882,222759.6154,628
2011,16395,3000,238467.8899,677
2012,17081,3069,259717.3913,701
2013,17239,3226,279138.5542,765
2014,17860,3458,283505.3191,818
2015,19142,3574,280704.5455,890
